Italy,Edu,PercentGDP,4.35239,4.14407,4.08391,4.16472,4.07525,4.08169,3.82943,,
Japan,Edu,PercentGDP,3.6395,3.64258,3.69226,3.66538,3.59059,,,,
"Korea, Rep.",Edu,PercentGDP,,,,,,,,,
Mexico,Edu,PercentGDP,5.15922,5.10565,5.1031,4.69605,5.26062,5.23524,4.91005,,
Russian Federation,Edu,PercentGDP,,,3.78973,3.75621,4.00528,3.8334,3.74321,,
Saudi Arabia,Edu,PercentGDP,,,,,,,,,
Turkey,Edu,PercentGDP,,,,,,,,,
United States,Edu,PercentGDP,,,,4.93105,4.96174,,,,
South Africa,Edu,PercentGDP,5.72174,5.96275,6.37164,6.01354,6.04662,5.95619,5.94059,6.12535,6.16137
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Edu,Current, 21.26 , 28.05 , 29.19 , 30.01 , 28.22 , 34.35 , 31.07 , 35.40 , -   
Australia,Edu,Current, 63.72 , 70.99 , 75.42 , 82.56 , 75.92 , 71.93 , 63.83 , -   , -   
Brazil,Edu,Current, 124.77 , 150.10 , 144.34 , 144.38 , 146.09 , 112.48 , -   , -   , -   
Canada,Edu,Current, 86.65 , 94.37 , -   , -   , -   , -   , -   , -   , -   
China,Edu,Current, -   , -   , -   , -   , -   , -   , -   , -   , -   
Germany,Edu,Current, 166.89 , 180.02 , 174.01 , 184.21 , 191.12 , 161.48 , 166.44 , -   , -   
France,Edu,Current, 150.43 , 157.90 , 146.44 , 154.62 , 157.21 , 133.23 , 134.25 , -   , -   
United Kingdom,Edu,Current, 142.83 , 150.15 , -   , 155.69 , 173.56 , 164.28 , 147.83 , -   , -   
Indonesia,Edu,Current, 21.24 , 28.48 , 31.28 , 30.65 , 29.29 , 30.85 , -   , -   , -   
India,Edu,Current, 56.60 , 69.21 , 70.68 , 71.38 , -   , -   , -   , -   , -   
Italy,Edu,Current, 92.88 , 94.98 , 85.23 , 89.18 , 87.99 , 74.94 , 71.82 , -   , -   
Japan,Edu,Current, 207.46 , 224.29 , 229.04 , 188.98 , 174.16 , -   , -   , -   , -   
"Korea, Rep.",Edu,Current, -   , -   , -   , -   , -   , -   , -   , -   , -   
Mexico,Edu,Current, 54.57 , 60.27 , 61.29 , 59.85 , 69.15 , 61.28 , 52.93 , -   , -   
Russian Federation,Edu,Current, -   , -   , 83.76 , 86.28 , 82.51 , 52.27 , 48.02 , -   , -   
Saudi Arabia,Edu,Current, -   , -   , -   , -   , -   , -   , -   , -   , -   
Turkey,Edu,Current, -   , -   , -   , -   , -   , -   , -   , -   , -   
United States,Edu,Current, -   , -   , -   , 827.67 , 869.38 , -   , -   , -   , -   
South Africa,Edu,Current, 21.48 , 24.83 , 25.25 , 22.06 , 21.22 , 18.92 , 17.61 , 21.41 , 22.69 
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Edu,Percapita, 521.35 , 679.79 , 699.38 , 711.12 , 661.32 , 796.47 , 712.70 , 803.76 , -   
Australia,Edu,Percapita," 2,892.00 "," 3,177.86 "," 3,317.39 "," 3,569.71 "," 3,234.11 "," 3,020.40 "," 2,638.63 ", -   , -   
Brazil,Edu,Percapita, 637.54 , 759.96 , 724.28 , 718.20 , 720.52 , 550.09 , -   , -   , -   
Canada,Edu,Percapita," 2,548.05 "," 2,748.08 ", -   , -   , -   , -   , -   , -   , -   
China,Edu,Percapita, -   , -   , -   , -   , -   , -   , -   , -   , -   
Germany,Edu,Percapita," 2,040.75 "," 2,242.59 "," 2,163.67 "," 2,284.19 "," 2,360.04 "," 1,976.83 "," 2,021.14 ", -   , -   
France,Edu,Percapita," 2,313.34 "," 2,416.50 "," 2,230.30 "," 2,342.73 "," 2,370.66 "," 2,000.64 "," 2,008.01 ", -   , -   
United Kingdom,Edu,Percapita," 2,275.63 "," 2,373.58 ", -   ," 2,427.78 "," 2,686.20 "," 2,522.32 "," 2,253.73 ", -   , -   
Indonesia,Edu,Percapita, 87.81 , 116.19 , 125.88 , 121.73 , 114.80 , 119.39 , -   , -   , -   
India,Edu,Percapita, 45.85 , 55.35 , 55.84 , 55.73 , -   , -   , -   , -   , -   
Italy,Edu,Percapita," 1,566.88 "," 1,599.57 "," 1,431.55 "," 1,480.56 "," 1,447.46 "," 1,233.90 "," 1,184.68 ", -   , -   
Japan,Edu,Percapita," 1,619.86 "," 1,754.56 "," 1,794.57 "," 1,482.81 "," 1,368.35 ", -   , -   , -   , -   
"Korea, Rep.",Edu,Percapita, -   , -   , -   , -   , -   , -   , -   , -   , -   
Mexico,Edu,Percapita, 478.33 , 520.95 , 522.65 , 503.66 , 574.58 , 502.89 , 429.13 , -   , -   
Russian Federation,Edu,Percapita, -   , -   , 584.93 , 601.26 , 573.69 , 362.76 , 332.65 , -   , -   
Saudi Arabia,Edu,Percapita, -   , -   , -   , -   , -   , -   , -   , -   , -   
Turkey,Edu,Percapita, -   , -   , -   , -   , -   , -   , -   , -   , -   
United States,Edu,Percapita, -   , -   , -   ," 2,618.73 "," 2,730.59 ", -   , -   , -   , -   
South Africa,Edu,Percapita, 419.32 , 477.46 , 477.97 , 410.87 , 388.99 , 341.57 , 313.24 , 375.64 , 392.73 
Country Name,Spending,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,Edu,Change,,6.78,1.14,0.82,-1.79,6.14,-3.29,4.33,-35.40
